No;Game Name;Game protocol;Supported since;Verified;By;INTERNATIONAL_ID;FTN_ID
22;F1 Challenge 99-02;FreeTrack20;V160;;;4401;00166D27E99118BEEB3300
396;FAAC;FreeTrack20;V160;;;20500;018C409784864ED81AA100
9;Falcon 4.0;FreeTrack20;V160;;;1901;000987F8372EE07CA5D000
99;Falcon 4.0: Allied Force;FreeTrack20;V160;;;8901;0063BCFAB33A4E42FAB300
33;Falcon 5;FreeTrack20;V160;;;1902;0021977E9CB8EA480D3E00
295;Farmer Simulator 2009;FreeTrack20;V160;;;1725;0127EAF6C473A66CB4E000
80;Faros Driving Simulator;FreeTrack20;V160;;;8001;0050BDAA81724BA7917800
389;Faubert Lab Car Simulator;FreeTrack20;V160;;;20480;0185CB21F2737C4E770E00
275;FIFA 09;FreeTrack20;V170;;;9002;232A288979C65B0DAA0D00
94;Fighter Ace;FreeTrack20;V160;;;8401;005EA62AAEB615EE563700
103;Fighter Ops;FreeTrack20;V160;;;9301;006764CDD851A5FEC18800
289;Fighter Squadron: Screamin Demons Over Europe;FreeTrack20;V160;;;1675;0121A140A985B64D78EB00
3;First Eagles, Wings Over Europe, Strike Fighters;FreeTrack20;V160;;;1101;0003FD293BA8A5FCD86500
163;Flight Gear;FreeTrack20;V160;;;12901;00A31314C59685279E5700
12;Flight Simulator 2002;FreeTrack20;V160;;;2302;000CFA9D94946AE64BEC00
13;Flight Simulator 2004;FreeTrack20;V160;;;2303;000D0809BE30FFFC2D2500
148;Flight Simulator X;FreeTrack20;V160;;;2305;00949527D98EFCF1737F00
6;Flyboys / Warbirds;FreeTrack20;V160;;;1301;0006B9283164764D951600
285;Flyer;FreeTrack20;V160;;;1650;011D08CC76BA68B508C800
202;Flying Tigers;FreeTrack20;V160;;;7002;00CA49A35875264C8AB000
190;FlyingGuns;FreeTrack20;V160;;;14801;00BEF15778A88E30303100
67;Ford Racing 3;FreeTrack20;V160;;;6901;004315F6B77EF2371A8900
257;FreeSpace2;FreeTrack20;V160;;;13302;0101FBF945BBAE0EC0DF00
313;FTAlpha;FreeTrack20;V160;;;20270;01394E3EC4AD48AA039700
31;Full Out;FreeTrack20;V160;;;1701;001F249A7499D0A073B700
165;Future Pinball;FreeTrack20;V160;;;13101;00A5C8B5A9A0E252AA1700
332;Game VR;FreeTrack20;V160;;;20325;014C20C9A4646102632500
410;GameLab;FreeTrack20;V160;;;20555;019A2980AAAE6BCE99FC00
459;Games Farm;FreeTrack20;V160;;;3250;01CBAFBB4FA4A86606BA00
229;Gamma;FreeTrack20;V160;;;1050;00E5E42ACF41379E700100
490;Garry's Mod;FreeTrack20;V160;;;12503;01EAEABA1116EB8268CA00
470;Generic Robotics;FreeTrack20;V160;;;20750;01D6B38BD6799D6BA1BC00
462;Glider Sim;FreeTrack20;V160;;;20720;01CEE3EDD3D1668F849900
335;Global Ground Support Deicing Simulation;FreeTrack20;V160;;;20330;014F77EC9DBBA2206C5200
344;GosNIIAS Sim Trainer;FreeTrack20;V160;;;20355;01581273D0726665DBD500
185;Gothic 3;FreeTrack20;V160;;;14401;00B9ADA579F7F083EFB800
27;Grand Prix Legends;FreeTrack20;V160;;;6701;001B6A116A3C368FB86100
116;Grand Theft Auto: San Andreas;FreeTrack20;V160;;;7808;0074E38D2FB36A4C409400
265;GRID;FreeTrack20;V160;;;8105;0109211A446AAE7BB7A800
248;GSE Power Plant Simulation;FreeTrack20;V160;;;20044;00F8E3FA8535BFFBDF2B00
83;GT Legends;FreeTrack20;V160;;;3902;00536F35170D830A860800
20;GTR;FreeTrack20;V160;;;3901;0014701F9C50D0D50DEF00
391;Gun Commander;FreeTrack20;V160;;;2675;0187DD273241B932F30600
43;Halo;FreeTrack20;V160;;;3801;002BD90B92B3D4D4B3A300
489;hapTEL;FreeTrack20;V160;;;20805;01E9EDDCA498D073C15900
456;Hardware Control Simulator, Railway Electronics;FreeTrack20;V160;;;20705;01C8B1A10FBE8974FE1A00
237;Harrier Attack II;FreeTrack20;V160;;;1175;00ED1E3A76F0924DCE0900
486;Harry's Hard Choices Interactive;FreeTrack20;V160;;;20800;01E67C35CC39DA9BD80F00
87;Herissons (Paris France);FreeTrack20;V160;;;20001;0057AB857C2A8AFD8C1C00
95;HL2 (Unsupported Demo);FreeTrack20;V160;;;7806;005F1FC32D74D01FDEA200
337;HOBI;FreeTrack20;V160;;;20335;0151836DA0709D2BDB9E00
200;HoverAssault;FreeTrack20;V160;;;5303;00C855D876AEAB8A7E6300
420;HPC;FreeTrack20;V160;;;20600;01A44FEEAEF74957B2FA00
309;HPG Tracking;FreeTrack20;V160;;;20255;0135879A4DC38934590F00
435;HTW;FreeTrack20;V160;;;20630;01B38FB202777B2045EE00
